id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Gloria Trevi,Gloria Trevi,,3733169,70,1Db5GsIoVWYktPoD2nnPZZ,0,66,13,16,29,17,20,37,7,0.303963,0.336215,4924.471925,6,0.001108
El Chombo,El Chombo,,99865,54,6iSZjc4kOoKZKiBXK5HbwD,0,66,1,2,3,9,18,27,7,0.260382,0.281555,0,6,0.000253
Antonio Orozco,Antonio Orozco,,1257679,63,1ADdpen72RPuafRcv0YRBf,0,66,9,12,21,18,23,41,6,0.315118,0.345865,7421.593134,6,0.000862
Paty Cantú,Paty Cantú,,2052805,63,7K9rdoOJSiKXoVXPlSkGKT,0,66,19,16,35,25,29,54,7,0.3214,0.357101,9892.22268,6,0.001847
CNCO,CNCO,,9040662,70,0eecdvMrqBftK0M1VKhaF4,0,66,12,9,21,15,11,26,7,0.298451,0.330362,1241.055481,6,0.001205
Andy Rivera,Andy Rivera,,2529656,66,7hIqJfRYGBWWT1Qxu6Cpd2,0,66,13,4,17,19,7,26,7,0.274974,0.303927,83.696487,0,0.001266
Alejandro Sanz,Alejandro Sanz,,6430416,75,5sUrlPAHlS9NEirDB8SEbF,0,66,19,20,39,40,27,67,7,0.317014,0.354075,5595.424963,6,0.001803
Carlos Vives,Carlos Vives,,5413142,74,4vhNDa5ycK0ST968ek7kRr,0,66,28,23,51,40,34,74,6,0.332492,0.372954,13866.768202,6,0.002565
Carlinhos Brown,Carlinhos Brown,,133595,51,5jvQoouPSDvUEwynz5KPpv,0,66,2,2,4,2,3,5,8,0.246106,0.261594,52.575036,6,0.000317
El Cata,El Cata,,8905,53,52aHqEQZ802daFzuMHfcES,0,66,8,3,11,18,3,21,7,0.246567,0.267492,156.040834,6,0.000685
Calle 13,Calle 13,,2724557,68,0yNSzH5nZmHzeE2xn6Xshb,0,66,6,9,15,8,10,18,7,0.267253,0.288505,3079.618877,6,0.001177
Gustavo Cerati,Gustavo Cerati,,3189693,68,1QOmebWGB6FdFtW7Bo3F0W,0,66,4,2,6,6,2,8,8,0.213283,0.22473,846.0942,6,0.000809
Pedro Capó,Pedro Capó,,1511985,68,4QVBYiagIaa6ZGSPMbybpy,0,66,23,13,36,38,16,54,7,0.318292,0.353514,6937.77172,6,0.002228
