,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
399,0i5iO6icb7kxg48thi9gBM,Manuel Medrano,Manuel Medrano,2118539,19.848826,5,5,6,https://i.scdn.co/image/ab6761610000e5eb8f4ed6fa785cdb13c3e1f9db
400,5YCc6xS5Gpj3EkaYGdjyNK,WOS,WOS,2829792,1686.11707,2,10,9,https://i.scdn.co/image/ab6761610000e5eb632866253c99e4531985aa1a
401,2gRP1Ezbtj3qrERnd0XasU,Camila,Camila,3598466,567.722354,5,12,30,https://i.scdn.co/image/ab6761610000e5eb74dc5cfab4be58a97ab61d35
402,3rqKgkODmiyDdimpz5D3y1,Yannc,Yannc,47175,59.314771,0,14,16,https://i.scdn.co/image/ab6761610000e5eb288410ce07aac7ca0dd2752d
403,128ftF9X7Kd7Di2fq3wYVs,Jamby El Favo,Jamby El Favo,797441,3330.270066,0,37,73,https://i.scdn.co/image/ab6761610000e5ebbd5cbba4c21df590739d4530
404,2oT7xd9iTO2ejLsNGIMa5f,Flow La Movie,Flow La Movie,13816,0.0,0,6,16,https://i.scdn.co/image/ab6761610000e5ebd9d45c111ed57ff967cd46ca
405,5Hsv8dUHHOdnn72q4XIVz7,Leiva,Leiva,609201,1677.35405,5,26,24,https://i.scdn.co/image/ab6761610000e5eb52a11e3ff6141b14a5858860
406,3HrbmsYpKjWH1lzhad7alj,Los Auténticos Decadentes,Los Auténticos Decadentes,1708603,7317.457023,5,39,36,https://i.scdn.co/image/ab6761610000e5eb39bb27c9cc186cb2479a48d6
407,4ClsVDy2g7RKSSlvq8cF6d,León Larregui,León Larregui,1710236,31.614363,5,4,11,https://i.scdn.co/image/a39283ebc434e867bbfa42818764a2c4b432edca
408,11mqrDSFRRz8g0Wb3syJj5,Panteon Rococo,Panteon Rococo,2211649,236.796736,5,10,9,https://i.scdn.co/image/ab6761610000e5eb32da892bd74fedc3a32bf16f
409,1ne2c2YEgt4MmJCJGCsfsZ,Ely Guerra,Ely Guerra,362793,1426.720754,5,10,6,https://i.scdn.co/image/ab6761610000e5ebe1bb310836f08c0877112944
410,7qjoG7bwhAjSd7nJTcjgAk,Kevin Johansen,Kevin Johansen,329347,197.194671,5,16,17,https://i.scdn.co/image/ab6761610000e5eb3bf69466fac25464cb8652e6
411,1c84wItoiAe1pEbpJMqUmQ,Oscar D'León,Oscar D'León,1188713,2748.261747,5,17,24,https://i.scdn.co/image/01a4bd3a5b74f35a8d47961c3bfcb94206eda751
412,7zLcnirfgw1VEHHshuGcDR,Eddie Dee,Eddie Dee,437695,249.026188,1,17,23,https://i.scdn.co/image/ab67616d0000b2738f41487d9316d9cf87307959
413,29SeiO68HQHBs7pDdWOvvX,Jesús Adrián Romero,Jesús Adrián Romero,3356388,5291.955434,4,14,21,https://i.scdn.co/image/ab6761610000e5eb4375c6be9120788fd0d33959
414,2zF0KCQEt1O4Z9fWVUVi4T,Marcela Gandara,Marcela Gandara,1438828,1973.798398,4,15,17,https://i.scdn.co/image/ab6761610000e5ebcd641d42ef6d9f9c33e34e62
415,6vetaGijEBK3wfhtCUWRBS,Lilly Goodman,Lilly Goodman,1332835,2002.364781,4,12,17,https://i.scdn.co/image/ab6761610000e5ebe2d4af0f574f417083634d3e
416,6slyJwua5e5GuhuP82sTHR,Alex Campos,Alex Campos,1427454,13655.355491,4,33,56,https://i.scdn.co/image/ab6761610000e5ebfa943ac8eb39fcf83eb5642a
417,0UH4eoqwQgADwRoaKtEKc1,Abel Zavala,Abel Zavala,469172,0.0,4,2,3,https://i.scdn.co/image/ab6761610000e5eb2542f88573dc59f36adaa53d
418,3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,Ovy On The Drums,159537,986.230852,3,13,14,https://i.scdn.co/image/ab6761610000e5eb4bb8dc84b665069642ed381e
419,4FeDV8T2wgjzYKBamSp7MG,Enrique Guzman,Enrique Guzman,467846,56.360106,5,7,10,https://i.scdn.co/image/ab67616d0000b273a18523f50067d4390dd86b97
420,132xFnGXTZoDfZWuMDE4tc,María León,María León,55751,394.742607,5,13,17,https://i.scdn.co/image/ab6761610000e5eb0839ae679be9a0067c1251d7
421,2eEmsgWmUFMbtU7agJpnjY,Miranda!,Miranda!,835413,3547.37007,5,28,34,https://i.scdn.co/image/ab6761610000e5eb9c7c6dc9d7ade38e819ca20b
422,4WOIfFwyvx22jM0eg2fpKv,Kinky,Kinky,464659,373.187542,3,10,9,https://i.scdn.co/image/ab6761610000e5eb0de6cd4c427eaff96120b571
423,2bimgkRmsxRhhuWsOnd5rz,Tercer Cielo,Tercer Cielo,1402687,1491.69526,4,12,13,https://i.scdn.co/image/ab6761610000e5ebd2b36358bf75e563b3ecd756
424,3NIZFmehJM8YiGpCdihlck,LA INDIA,LA INDIA,761314,3828.885849,5,19,24,https://i.scdn.co/image/ab6761610000e5eb252d4c6ef84e1efcd9825500
425,4vOycwLXdkMMzpZW04VW5m,Tito Nieves,Tito Nieves,1103918,1187.999344,5,15,16,https://i.scdn.co/image/ab6761610000e5eb75c86c08848892e3996655cb
426,0xf0KaVp6AMWgesiBh6fee,Musicologo Y Menes,Musicologo Y Menes,162843,684.990965,0,38,85,https://i.scdn.co/image/ab67616d0000b273276a312bc7aa404a9295cb70
427,63xFjf6Ww22O5gHrBP79G9,Marcela Morelo,Marcela Morelo,62462,301.03419,5,17,10,https://i.scdn.co/image/ab6761610000e5ebf384d79083e6d6dbc243e52e
428,5yoimVE1rbc3kAx4uwr7eq,León Gieco,León Gieco,234591,637.163283,5,23,22,https://i.scdn.co/image/ab6761610000e5ebd416a44868fd0c1467b10052
429,5Uox3n7m4W2CoM9MmHPJwQ,Delaossa,Delaossa,164713,1569.226131,2,24,25,https://i.scdn.co/image/ab6761610000e5eb844a5425369facf36685a3ab
430,5XsWrYhwadPBjW20qYbdZg,Moderatto,Moderatto,752644,1198.730257,3,8,23,https://i.scdn.co/image/ab6761610000e5eba2bb7c400bbdd36de742e9fc
