source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Malú,Gente De Zona,Directed,7836,,,1,37,Nadie Como Yo,"[[""Nadie Como Yo"", 37]]"
Malú,Antonio Orozco,Directed,7837,,,1,50,Devuelveme la Vida (with Antonio Orozco),"[[""Devuelveme la Vida (with Antonio Orozco)"", 50]]"
Malú,Ele A El Dominio,Directed,7838,,,1,35,No Mientas,"[[""No Mientas"", 35]]"
Malú,Luigi 21 Plus,Directed,7839,,,1,33,El Punto (feat. Luigi 21),"[[""El Punto (feat. Luigi 21)"", 33]]"
Antonio Orozco,Sebastian Yatra,Directed,7841,,,1,63,Entre Sobras Y Sobras Me Faltas,"[[""Entre Sobras Y Sobras Me Faltas"", 63]]"
Antonio Orozco,Luis Fonsi,Directed,7842,,,7,51,Ya Lo Sabes,"[[""Ya Lo Sabes"", 36], [""Mi H\u00e9roe"", 0], [""Ya Lo Sabes"", 51], [""Ya Lo Sabes"", 10], [""Ya Lo Sabes"", 12], [""Ya Lo Sabes"", 24], [""Ya Lo Sabes"", 24]]"
Antonio Orozco,Alejandro Fernández,Directed,7843,,,2,34,Estoy Hecho De Pedacitos De Ti,"[[""Estoy Hecho De Pedacitos De Ti"", 34], [""Estoy Hecho De Pedacitos De Ti"", 25]]"
Antonio Orozco,KAROL G,Directed,7844,,,5,47,Dicen,"[[""Dicen"", 47], [""Dicen"", 35], [""Dicen"", 1], [""Dicen"", 0], [""Dicen"", 0]]"
Antonio Orozco,India Martinez,Directed,7845,,,2,46,Tantas Dudas,"[[""Tantas Dudas"", 46], [""Tantas Dudas"", 9]]"
Antonio Orozco,Jarabe De Palo,Directed,7846,,,1,19,Frío,"[[""Fr\u00edo"", 19]]"
Antonio Orozco,Bebe,Directed,7847,,,3,41,Podría Ser,"[[""Podr\u00eda Ser"", 41], [""Podr\u00eda Ser"", 8], [""Podr\u00eda Ser"", 7]]"
Antonio Orozco,David Bisbal,Directed,7848,,,2,16,Siempre Fue Mucho Más Fácil,"[[""Siempre Fue Mucho M\u00e1s F\u00e1cil"", 16], [""Siempre Fue Mucho M\u00e1s F\u00e1cil"", 12]]"
Antonio Orozco,Coti,Directed,7849,,,1,16,Temblando,"[[""Temblando"", 16]]"
Antonio Orozco,Malú,Directed,7850,,,1,20,Devuélveme La Vida,"[[""Devu\u00e9lveme La Vida"", 20]]"
Abel Pintos,Camila,Directed,7851,,,2,50,"De Mí, Contigo","[[""De M\u00ed, Contigo"", 50], [""De M\u00ed, Contigo"", 40]]"
