id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Calle 13,Calle 13,,2717215,68,0yNSzH5nZmHzeE2xn6Xshb,0,22,7,5,12,7,10,17,7,0.250744,0.272209,480.487916,1,0.000993
Carlos Vives,Carlos Vives,,5384986,74,4vhNDa5ycK0ST968ek7kRr,0,22,20,34,54,25,65,90,7,0.350676,0.399618,10997.677052,5,0.002057
Haze,Haze,,6484,55,77iZVjeYoYSl5P0K9mIiUE,0,22,4,4,8,5,4,9,7,0.26359,0.289498,45.553032,0,0.000836
Eladio Carrion,Eladio Carrion,,1689041,78,5XJDexmWFLWOkjOEjOVX3e,0,22,45,50,95,120,116,236,7,0.33202,0.397531,13702.568149,0,0.004121
Sinfonico,Sinfonico,,111828,55,17vZy9fIIt6woqdWfc7UCy,0,22,14,10,24,44,10,54,7,0.266825,0.299467,57.953026,0,0.001675
Casper Magico,Casper Magico,,1888877,69,1fux65HMCBvfJHqlBc4Nno,0,22,38,26,64,94,49,143,7,0.307903,0.355903,1277.467265,0,0.003244
Lil Geniuz,Lil Geniuz,,13336,50,7nuTWfojdN0o8d7NGDo71U,0,22,4,2,6,7,2,9,8,0.237743,0.261023,1.604606,0,0.000658
Enrique Iglesias,Enrique Iglesias,,10846416,76,7qG3b048QCHVRO5Pv1T5lw,0,22,10,20,30,29,80,109,7,0.317176,0.361898,2969.260662,1,0.001502
"Secreto ""El Famoso Biberon""","Secreto ""El Famoso Biberon""",,378311,53,37UACiDcdzEYii0iU0QpAf,0,22,17,10,27,28,14,42,8,0.263178,0.298578,401.823498,0,0.001815
Lito Kirino,Lito Kirino,,199098,54,68w2t0wbrGnxSIUHzWs5bt,0,22,22,11,33,24,13,37,7,0.291901,0.332539,1214.056385,0,0.002502
Messiah,Messiah,,91694,55,0tR60pwxQ5WKjPxQcKoCQ7,0,22,19,9,28,19,13,32,8,0.277024,0.315006,1027.486102,0,0.002713
