,spotify_id,name_id,name,followers,popularity,betweeness_centrality,group,unique_collabs,total_collabs,image
200,6Mjbr8K3MiiRMqmFIB4zWq,Luis Vargas,Luis Vargas,256365,53,534.501803,6,6,10,https://i.scdn.co/image/ab6761610000e5eb7aa8d4bdc22dc5372b90a429
201,1YYp1qwJ7EAitFINQ7gOKV,Kiko Rodriguez,Kiko Rodriguez,95719,50,0.0,6,3,4,https://i.scdn.co/image/ab6761610000e5eb366ce71d9440933447234f2c
202,5rvaaWutd0gsbc2iMNo9k5,Raulin Rodriguez,Raulin Rodriguez,367028,57,5.208609,6,4,5,https://i.scdn.co/image/ab6761610000e5eb4da10df2db804d0fa6515b85
203,2ElpWA67jmhM6LrDav4Jcy,Teodoro Reyes,Teodoro Reyes,224064,50,0.0,6,1,1,https://i.scdn.co/image/ab67616d0000b2733fa03aad789c7333210894af
204,1LKPL2O3vA3ozNsmshDg3o,Zacarias Ferreira,Zacarias Ferreira,1254831,59,0.0,3,2,3,https://i.scdn.co/image/ab6761610000e5ebe420b69b5afbd661aec3c53c
205,3rs3EOlJ8jyPpdGiQ9Mhub,Monchy & Alexandra,Monchy & Alexandra,776750,60,269.078801,6,5,5,https://i.scdn.co/image/c88ecd17387b1733226d728ef621bb91bf85f062
206,3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,Juan Luis Guerra 4.40,3153793,73,3117.112428,6,20,33,https://i.scdn.co/image/ab6761610000e5ebaa60935c3c4dc4a0fd48759e
207,4etuCZVdP8yiNPn4xf0ie5,Julio Iglesias,Julio Iglesias,2208102,67,665.534083,6,10,13,https://i.scdn.co/image/ab6761610000e5ebeb26b397cfc1d5b785296cdd
208,3Ces1OJeGOVGcUB0wPaPXJ,Mala Rodríguez,Mala Rodríguez,475818,58,8518.990073,6,23,36,https://i.scdn.co/image/ab6761610000e5eb5296ee9862de29ee24a1276f
209,7esCoLcCoCK7FPa9casAH4,Alex Bueno,Alex Bueno,215141,55,0.0,3,4,4,https://i.scdn.co/image/ab6761610000e5eb22e25fa06d149d50de39ec86
210,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,Nicki Nicole,3108505,78,14778.194089,10,47,62,https://i.scdn.co/image/ab6761610000e5ebc4339841ed995cedbc0cff4e
211,4uoz4FUMvpeyGClFTTDBsD,Ricardo Montaner,Ricardo Montaner,5062946,68,1197.117857,6,16,25,https://i.scdn.co/image/ab6761610000e5eba52d55f1b4af8cc18bd557be
212,6FOpWOxsjQxKEbLiJpU1xV,India Martinez,India Martinez,801879,62,4801.010332,6,34,44,https://i.scdn.co/image/ab6761610000e5eb38e082f05ad4798018f07214
213,0odliLZMTk45CEVzF3Zocl,Mozart La Para,Mozart La Para,372690,56,1980.424022,13,35,43,https://i.scdn.co/image/ab6761610000e5eb7a758d6dde8f2b3abaf58ade
214,3Okcq0dqLVlEFHRZ5t22bA,Voltio,Voltio,727927,55,1135.094066,3,26,32,https://i.scdn.co/image/8a87cea2034ecc3700ad827f99714a701828d8f5
215,7K78lVZ8XzkjfRSI7570FF,José Feliciano,José Feliciano,297443,62,3855.433934,6,12,20,https://i.scdn.co/image/ab6761610000e5eb5f8c900bf430e6bfae9ec7c2
216,1K0lOPFlbPF3Volp5qIYNw,Jadiel,Jadiel,1081012,52,34.439769,0,7,9,https://i.scdn.co/image/3d0597d79bdf4b7c7f3cade64125b2136bb5d51f
217,3NpG6SsHaQETkdQVZH6V1E,Kiko el Crazy,Kiko el Crazy,81845,58,2211.188066,0,49,77,https://i.scdn.co/image/ab6761610000e5eb03c9a58bd8f5484b484b447c
218,4zOhMWD0LoBe2nP7s9cHhX,Joyce Santana,Joyce Santana,90770,55,766.617682,0,38,57,https://i.scdn.co/image/ab6761610000e5eb5441925c348459c300831be4
219,128ftF9X7Kd7Di2fq3wYVs,Jamby El Favo,Jamby El Favo,807287,64,606.722809,0,26,37,https://i.scdn.co/image/ab6761610000e5ebbd5cbba4c21df590739d4530
220,1Vr7DTbtTpOp4tn4hAGOYo,Lirico En La Casa,Lirico En La Casa,192139,58,752.718532,13,17,21,https://i.scdn.co/image/ab6761610000e5eb952fcb8be372b671b696b33b
221,5UopXhshFFqRIMfeZrBclq,Ceky Viciny,Ceky Viciny,136475,53,730.309527,13,30,78,https://i.scdn.co/image/ab6761610000e5ebb6473287eab59c6a40d93e84
222,6NmMI7UnfmIpLRYoz8H9jm,Ankhal,Ankhal,128445,59,186.626652,0,30,39,https://i.scdn.co/image/ab6761610000e5eb4f36c6d2aabd8dd7543d9781
223,1AACxWCwNIa3ecOBQJnXRV,Nino Freestyle,Nino Freestyle,115708,50,685.368435,13,26,30,https://i.scdn.co/image/ab6761610000e5eba90c3f60fad4ffd03007c435
224,7kXCcNRLEnblbTAppPraBp,Milly,Milly,44144,53,83.102869,0,30,59,https://i.scdn.co/image/ab6761610000e5ebb50a521ce29a27691d7c7ee7
225,1lgtR3WlcFxEy6yPoOh0J2,Hozwal,Hozwal,89748,50,1185.754692,0,43,52,https://i.scdn.co/image/ab6761610000e5eba46fc59d130434050e4e1bcd
226,7awyvLSthqOcL5A3hnR1pf,Alex Gargolas,Alex Gargolas,55155,59,1238.329634,3,48,102,https://i.scdn.co/image/ab6761610000e5ebfdfceb6ce0e3685aaef60bc7
227,4F4pp8NUW08JuXwnoxglpN,Bad Gyal,Bad Gyal,759986,68,951.708888,10,18,21,https://i.scdn.co/image/ab6761610000e5eb6d2d0aa45aca13037f0b54bd
228,384MqcXCGGFh9UcjI5Tpc5,Eix,Eix,31219,58,606.133858,0,38,45,https://i.scdn.co/image/ab6761610000e5eb0812f19c31b8376058cac8e7
229,7nuTWfojdN0o8d7NGDo71U,Lil Geniuz,Lil Geniuz,14159,50,18.450847,0,10,12,https://i.scdn.co/image/ab6761610000e5eb0fe7cd25c79a6e4023328db6
230,3bvfu2KAve4lPHrhEFDZna,Lola Indigo,Lola Indigo,779318,68,5328.770408,2,44,61,https://i.scdn.co/image/ab6761610000e5eb96f3b815e734ee172bcdf245
231,40lro6xpFS9TxV2uC7yvs4,Leebrian,Leebrian,30201,53,314.574986,0,26,34,https://i.scdn.co/image/ab6761610000e5ebb50d4ea42cc7abe2f1376b83
232,2QUvtLq6oQaX0LNsYY2fas,Cauty,Cauty,857812,59,1678.460296,0,51,70,https://i.scdn.co/image/ab6761610000e5ebf67bd71f5d5143352062d13b
233,6vPXtLmNd3mW0dd1Rb9eQ9,Don Patricio,Don Patricio,586161,59,3339.866979,10,19,24,https://i.scdn.co/image/ab6761610000e5eb9e855ed552647416afe0e9ed
234,11YLRSsZA3YVuQQtHXKTlz,Rafa Pabön,Rafa Pabön,210903,67,2654.021778,0,60,91,https://i.scdn.co/image/ab6761610000e5eb02421a368a7cc3fcaf147c06
235,4gZwJrNP5NG3KGS2dRcS5c,Nekxum,Nekxum,1905,54,3.302106,2,8,29,https://i.scdn.co/image/ab6761610000e5eb5119cf37d4b00164b414cd9c
236,3HH6yOn1yJNZo3RY5zEfy5,Javiielo,Javiielo,251108,62,566.717859,2,30,61,https://i.scdn.co/image/ab6761610000e5eba27ac01599c4291434bb2b87
237,23wEWD21D4TPYiJugoXmYb,Thalia,Thalia,4072132,69,4486.053375,6,31,54,https://i.scdn.co/image/ab6761610000e5eb1afdb4b3c2ffc005d366134e
238,0haZhu4fFKt0Ag94kZDiz2,Sofía Reyes,Sofía Reyes,2576624,72,2875.748943,6,27,36,https://i.scdn.co/image/ab6761610000e5eb1630ace4444837a538d34048
239,07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,Cartel De Santa,11380611,75,2378.0,1,8,19,https://i.scdn.co/image/ab6761610000e5ebbd172041a059e4b6e46e2cfc
240,2N2aJ1SXQxMkhHD8C6fhYD,Millonario,Millonario,1203836,65,0.0,1,3,10,https://i.scdn.co/image/ab6761610000e5ebb54b209cd4863a2e83cac7b0
241,59XuCTeNNS0fVgBrFoPNfG,Santa Estilo,Santa Estilo,344374,54,0.0,1,3,3,https://i.scdn.co/image/ab67616d0000b273dfacd0a34126a18672114d3f
242,31l8FA2bO5qxpqf8uhV5eZ,Millonario & W. Corona,Millonario & W. Corona,734860,59,0.0,1,2,5,https://i.scdn.co/image/ab67616d0000b2736607a51331ee3300109da153
243,7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,Gigolo Y La Exce,474749,62,177.490399,0,42,73,https://i.scdn.co/image/ab6761610000e5ebe52bc035fccef431630ba2dc
244,2kqUKsTuEj1lPbm6BSn1AU,Rich Music LTD,Rich Music LTD,229079,63,2.845725,0,18,50,https://i.scdn.co/image/ab6761610000e5ebb09e14fd2ae3c72dd1caf888
245,6tkyhGe9hGI3Lcfo4gVh6Z,ChocQuibTown,ChocQuibTown,615931,56,1108.150995,6,25,42,https://i.scdn.co/image/ab6761610000e5eb08bfb67cb13074395532f417
246,5luyt0SUvGkDMY4ILP6Qhl,Descemer Bueno,Descemer Bueno,42726,64,1432.298268,6,16,33,https://i.scdn.co/image/ab6761610000e5eb6f17687bd4458a6145f95fc3
247,2cy1zPcrFcXAJTP0APWewL,Gente De Zona,Gente De Zona,1469252,70,4941.590763,6,41,72,https://i.scdn.co/image/ab6761610000e5eb2357c57a1496db97ed8a8a34
248,3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,Marco Antonio Solís,5385264,73,447.313324,6,14,24,https://i.scdn.co/image/ab6761610000e5ebf7422a4a2b7f13531f22e38b
249,1ackd5XprZEkH3McKbQD51,Juan Magán,Juan Magán,1690012,68,18223.558543,6,73,124,https://i.scdn.co/image/ab6761610000e5eb874c860c7fea4f5c97d4e6d9
250,2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,Laura Pausini,2069787,69,419.20415,6,11,22,https://i.scdn.co/image/ab6761610000e5eba1ca264aff097f33f02a9938
