,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
61,Bad Bunny,Amenazzy,1,Lean,"Amenazzy, Bad Bunny, Lito Kirino",https://p.scdn.co/mp3-preview/e698586ea07664b0624f4fbcb2d2f6137d4a4078?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,6kq4GHwUcUojGIu0ziSNXf,4zQJf65ZNkPgEl3i622bbA
62,Bad Bunny,Lito Kirino,1,Lean,"Amenazzy, Bad Bunny, Lito Kirino",https://p.scdn.co/mp3-preview/e698586ea07664b0624f4fbcb2d2f6137d4a4078?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,68w2t0wbrGnxSIUHzWs5bt,4zQJf65ZNkPgEl3i622bbA
63,Bad Bunny,Nacho,1,Báilame - Remix,"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian",https://p.scdn.co/mp3-preview/2aaf4fad0a9312f40609ad7a3d02a5687b619578?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2ayNSoKPCRAfjp6hQ76hRu,4l3xGFwoTinvYxsePytOOf
64,Bad Bunny,DJ Luian,5,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,64aJYyrXljOodnUG6jvhRD,6C1RD7YQVvt3YQj0CmuTeu
65,Bad Bunny,Almighty,7,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH,2wgDAPgBhFA7pnIbm0YOhP
66,Bad Bunny,Quimico Ultra Mega,3,Me Llueven 2,"Bad Bunny, Almighty, Denyerkin, Quimico Ultra Mega, El Fother",https://p.scdn.co/mp3-preview/eca83cfe78e36359335369e329e9c5fe73bbc2f0?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,3tZdknQnzsVIIdaGCTj4RX,7oZKzSymWd6cTXX4sEYiXo
67,Bad Bunny,Mark B.,1,Me Llueven (Extended Version),"Bad Bunny, Mark B., Poeta Callejero, Almighty, Quimico Ultra Mega, Denyerkin, El Fother, Bryant Myers, Noriel, Kevin Roldan",https://p.scdn.co/mp3-preview/4e3646497d1c79fdc8b8e1fa7996b5330c2353a3?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0zZJhc1T0zBurhnBwQ2fcu,4Mp0gqjE6eqY8LT4UZPTZq
68,Bad Bunny,Kevin Roldan,3,Me Llueven 3.0,"Bad Bunny, Kevin Roldan, Noriel, Bryant Myers, Almighty",https://p.scdn.co/mp3-preview/965431c18119ecc8c6a2cf3003c384edb141a20e?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1RBzGO6Nm3uyhUSxP7EDWO,7b59ZUw0TkGZuE0HNeiuc4
69,Bad Bunny,Messiah,1,Give It Up,"Breakfast n Vegas, Messiah, Bad Bunny, Tory Lanez, DJ Yonny",https://p.scdn.co/mp3-preview/0d4861d71847349121e3da1eb1722dbc8211f6be?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0tR60pwxQ5WKjPxQcKoCQ7,5dhOWHLE6k2uBeKRwDOniw
70,Bad Bunny,Baby Rasta,1,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0GgyFUpOyzWDRDqx8FCTDN,2wgDAPgBhFA7pnIbm0YOhP
